feature,importance
year_y,0.08519041
year_x,0.063557036
roa_trend_2yr,0.05316458
operating_cash_flow,0.046072178
debt_to_equity_cagr_3yr,0.034312833
capital_expenditures,0.03205997
cost_of_revenue,0.029004056
current_liabilities,0.02556571
gross_profit,0.024967132
total_debt,0.020863628
debt_to_equity_trend_2yr,0.017968848
debt_to_equity,0.017758222
inventory,0.016709303
ebitda_to_interest,0.01627772
total_equity,0.016247662
debt_to_assets,0.015888454
eps,0.015584221
leverage_momentum_3q,0.015515663
debt_to_equity_yoy,0.015182497
asset_turnover,0.015024112
current_assets,0.014824392
equity_multiplier,0.014803362
asset_turnover_yoy,0.014438064
is_leverage_increasing,0.013832964
revenue,0.01372381
gross_margin,0.013715466
net_margin,0.013367073
debt_to_equity_trend_1yr,0.013240503
total_assets,0.013042989
net_debt_to_ebitda_trend_2yr,0.012990686
net_debt_velocity_qoq,0.012703579
roa,0.01266004
interest_expense,0.012405668
is_deleveraging,0.012325658
quick_ratio,0.012253847
debt_to_equity_velocity_qoq,0.012241431
current_ratio,0.012188104
net_debt,0.012181996
interest_coverage,0.011209113
roa_yoy,0.011165824
free_cash_flow,0.011124231
interest_expense_velocity_qoq,0.010601266
current_ratio_trend_1yr,0.010499416
net_debt_to_ebitda_yoy,0.010388489
is_liquidity_deteriorating,0.01024371
operating_income,0.009918914
roic_yoy,0.009867505
net_debt_to_ebitda_trend_1yr,0.009708214
ebitda,0.009621725
cash,0.009336381
net_debt_to_ebitda,0.009330926
current_ratio_yoy,0.009247075
net_income,0.009222006
roic,0.009191255
fcf_to_debt,0.00859655
interest_coverage_yoy,0.007860674
debt_to_equity_acceleration_qoq,0.006877105
debt_growth_faster_than_equity,0.0021357792
